test,p_value,significant,direction
recomb_rate_sex,0.6934360759448799,FALSE,-
recomb_5e-6_vs_norecomb,0.002663269303375571,FALSE,-
epistasis_rate_sex,5.365341807190297e-31,TRUE,-
epistasis_rate_asex,2.7255918703848592e-17,TRUE,-
epistasis_tag_sex,1.362749402895217e-129,TRUE,-
epistasis_tag_asex,1.297414141943032e-134,TRUE,-
sex_epi_vs_noepi,1.719949054230319e-32,TRUE,-
asex_epi_vs_noepi,9.452431272763037e-19,TRUE,-
sex_ben_vs_noben,0.020209194464588628,FALSE,-
asex_ben_vs_noben,0.636358906738359,FALSE,-
sex_vs_asex_50_20,3.556034348510684e-4,TRUE,sex
sex_vs_asex_100_20,1.362704950985699e-10,TRUE,sex
sex_vs_asex_250_20,1.5765348011993073e-19,TRUE,sex
sex_vs_asex_500_20,3.552799987249434e-26,TRUE,sex
sex_vs_asex_1000_20,1.8926420739087302e-33,TRUE,sex
sex_vs_asex_10000_20,2.5619993462901224e-34,TRUE,sex
sex_vs_asex_100_2,5.048607844422634e-4,TRUE,asex
sex_vs_asex_100_5,3.288061008165528e-5,TRUE,asex
sex_vs_asex_100_10,0.13578071627187252,FALSE,sex
sex_vs_asex_100_15,1.6454560393273825e-6,TRUE,sex
sex_vs_asex_100_25,1.6301314829468866e-18,TRUE,sex
sex_vs_asex_100_30,4.2697259339754694e-20,TRUE,sex
sex_vs_asex_100_50,4.684311953111653e-25,TRUE,sex
sex_vs_asex_100_100,2.5621436691634213e-34,TRUE,sex
