test,p_value
sex_epi_vs_noepi,4.082918333296011e-33
asex_epi_vs_noepi,2.5621436691634213e-34
sex_ben_vs_noben,0.09883883458997664
asex_ben_vs_noben,0.45539242129325835
epistasis_rate_asex,1.5153198638790494e-78
epistasis_rate_sex_recomb0001,6.604073582132856e-63
epistasis_rate_sex_recomb1e05,2.575655229018858e-62
recomb_rate_sex,0.9452288521910571
sex_vs_asex_epi100,1.514204360544225e-14
sex_vs_asex_epi500,4.972938410714164e-16
sex_vs_asex_epi1000,5.760419376023784e-10
bonferroni_threshold,0.004545454545454546
