test,p_value,significant,direction
panel1_tags2_epi100_welch_t_test,0.0637871304917267,False,sex
panel1_tags2_epi100_mann_whitney_u,0.1,False,sex
panel2_tags20_epi100_welch_t_test,0.06466769805575487,False,sex
panel2_tags20_epi100_mann_whitney_u,0.1,False,sex
panel3_tags100_epi100_welch_t_test,0.4949845150320734,False,sex
panel3_tags100_epi100_mann_whitney_u,0.7,False,sex
panel4_tags20_epi50_welch_t_test,0.29174166193137296,False,sex
panel4_tags20_epi50_mann_whitney_u,0.4,False,sex
panel5_tags20_epi100_welch_t_test,0.06466769805575487,False,sex
panel5_tags20_epi100_mann_whitney_u,0.1,False,sex
panel6_tags20_epi1000_welch_t_test,0.007487431565552769,False,sex
panel6_tags20_epi1000_mann_whitney_u,0.1,False,sex
